RID,state
194401,RHODE ISLAND
418500,SOUTH CAROLINA
454510,SOUTH CAROLINA
454520,SOUTH CAROLINA
494501,SOUTH CAROLINA
894601,SOUTH DAKOTA
420100,TENNESSEE
454700,TENNESSEE
454711,TENNESSEE
454712,TENNESSEE
454713,TENNESSEE
454714,TENNESSEE
454715,TENNESSEE
454716,TENNESSEE
454721,TENNESSEE
454722,TENNESSEE
454723,TENNESSEE
454724,TENNESSEE
454725,TENNESSEE
454726,TENNESSEE
454731,TENNESSEE
454732,TENNESSEE
454733,TENNESSEE
454734,TENNESSEE
454735,TENNESSEE
454736,TENNESSEE
494701,TENNESSEE
600000,TEXAS
625400,TEXAS
625410,TEXAS
625500,TEXAS
626000,TEXAS
626300,TEXAS
626600,TEXAS
626700,TEXAS
627400,TEXAS
627410,TEXAS
627500,TEXAS
627510,TEXAS
636900,TEXAS
690000,TEXAS
694801,TEXAS
830700,UTAH
854910,UTAH
894901,UTAH
894902,UTAH
155010,VERMONT
195001,VERMONT
257800,VIRGIN ISLANDS
257810,VIRGIN ISLANDS
257820,VIRGIN ISLANDS
297800,VIRGIN ISLANDS
297810,VIRGIN ISLANDS
297820,VIRGIN ISLANDS
316110,VIRGINIA
316300,VIRGINIA
355100,VIRGINIA
355110,VIRGINIA
355111,VIRGINIA
355112,VIRGINIA
355114,VIRGINIA
355115,VIRGINIA
355116,VIRGINIA
355117,VIRGINIA
355118,VIRGINIA
355119,VIRGINIA
355121,VIRGINIA
355122,VIRGINIA
355123,VIRGINIA
355124,VIRGINIA
355125,VIRGINIA
355126,VIRGINIA
395100,VIRGINIA
395101,VIRGINIA
1000000,WASHINGTON
1032300,WASHINGTON
1055300,WASHINGTON
1055310,WASHINGTON
1055320,WASHINGTON
1055330,WASHINGTON
1055340,WASHINGTON
1055350,WASHINGTON
1055360,WASHINGTON
1055361,WASHINGTON
1055370,WASHINGTON
1055380,WASHINGTON
1090000,WASHINGTON
1095310,WASHINGTON
1095320,WASHINGTON
1095330,WASHINGTON
1095340,WASHINGTON
1095350,WASHINGTON
1095360,WASHINGTON
316400,WEST VIRGINIA
395401,WEST VIRGINIA
521100,WISCONSIN
521110,WISCONSIN
523300,WISCONSIN
523310,WISCONSIN
523400,WISCONSIN
523420,WISCONSIN
523900,WISCONSIN
595502,WISCONSIN
855610,WYOMING
895601,WYOMING
